,N_est,lower,upper,decade,region_name,model_type,count_cps
1609,37.86696067392421,31.15978874326158,45.15140162873488,1670,Balkans,base_model,2
1610,37.75576328612432,31.08674532863405,45.01651452984033,1680,Balkans,base_model,2
1611,112.87347424872496,92.83433064735952,134.75561350073275,1690,Balkans,base_model,6
1612,186.37838538943012,152.9255628113767,222.42956148941207,1700,Balkans,base_model,10
1613,110.9354418031929,90.94312137790124,132.47441733773803,1710,Balkans,base_model,6
1614,167.10907846187854,137.081877123588,199.3491570830403,1720,Balkans,base_model,9
1615,129.32041002449256,106.09117933285832,154.23146394115128,1730,Balkans,base_model,7
1616,183.77090560378542,150.8048766165032,219.22706921882937,1740,Balkans,base_model,10
1617,164.49362440992599,135.12629073669876,196.05015348092596,1750,Balkans,base_model,9
1618,287.80668332643353,235.634616599578,343.95301638381846,1760,Balkans,base_model,16
1619,216.87911114277128,178.10728375455682,258.8264562548462,1770,Balkans,base_model,12
1620,213.66053084135794,175.10190488019256,255.5063416008134,1780,Balkans,base_model,12
1621,409.05347985909714,335.5805286503705,488.86273924336746,1790,Balkans,base_model,23
1622,512.4728460989085,420.5071995527578,612.3346738485071,1800,Balkans,base_model,29
1623,457.73109878751194,375.9933414825569,546.6899034726208,1810,Balkans,base_model,26
1624,803.3327607339224,658.8024877662764,960.4191963649014,1820,Balkans,base_model,46
1625,732.5387957623709,601.4063469619856,875.4916480974067,1830,Balkans,base_model,42
1626,1111.1067708465437,910.6843263688615,1327.239129409821,1840,Balkans,base_model,64
1627,1435.0899356655136,1176.8421151624743,1715.9184305439262,1850,Balkans,base_model,83
1628,2295.6294290186165,1880.6518893776504,2750.573569709003,1860,Balkans,base_model,133
1629,4.156772267537552,3.1983871870389278,5.191386777918783,-320,Latin World,base_model,1
1630,4.28632193991899,3.313356095778053,5.371794706021724,-260,Latin World,base_model,1
1631,4.390380607272755,3.3682678842649696,5.5545255453077615,-220,Latin World,base_model,1
1632,4.41834090740771,3.384152725328994,5.598326865487976,-210,Latin World,base_model,1
1633,25.681832320931505,19.41404105438602,32.844284867255624,-200,Latin World,base_model,6
1634,4.5057883933859975,3.4509579703544713,5.688826539495689,-180,Latin World,base_model,1
1635,21.825775794735854,16.550664165434554,27.80287644331944,-160,Latin World,base_model,5
1636,13.783504997454656,10.632310756361258,17.302888884940693,-150,Latin World,base_model,3
1637,4.623355789990865,3.5822176927039817,5.7869097628912565,-140,Latin World,base_model,1
1638,4.651521933075746,3.618193753184447,5.8032834369607595,-130,Latin World,base_model,1
1639,63.50324755448546,49.09726882092131,79.4553112672077,-120,Latin World,base_model,14
1640,14.114995122791333,11.074117930158126,17.467700306356157,-110,Latin World,base_model,3
1641,81.1381340687619,63.039716065183306,101.19561050744662,-100,Latin World,base_model,18
1642,4.753274866324724,3.756701010424178,5.857998166233237,-90,Latin World,base_model,1
1643,27.64938190330923,21.733773092836795,34.16547310247353,-80,Latin World,base_model,6
1644,32.56156333516833,25.721294274136664,40.16881955107398,-70,Latin World,base_model,7
1645,67.36574987225116,53.84012291453978,82.47026073919913,-60,Latin World,base_model,14
1646,32.78617880272698,26.105932053108496,40.22687727398258,-50,Latin World,base_model,7
1647,40.54625260353288,32.06208949303794,50.02894080685072,-40,Latin World,base_model,9
1648,29.082829080677506,23.42505486098539,35.365500582825035,-30,Latin World,base_model,6
1649,126.15849741115314,101.76845698216164,153.3108713795508,-20,Latin World,base_model,26
1650,4.853449921462736,3.916017145030814,5.903467101755814,-10,Latin World,base_model,1
1651,9.700741007685057,7.807859793411931,11.825296813357376,0,Latin World,base_model,2
1652,4.842638625458412,3.8830160192231875,5.925181122728099,10,Latin World,base_model,1
1653,4.829881705928173,3.8643539865930183,5.930851790104982,20,Latin World,base_model,1
1654,14.435202955176749,11.521019836918436,17.736016671246013,30,Latin World,base_model,3
1655,28.727074928210627,22.895581989385427,35.29918141829983,40,Latin World,base_model,6
1656,13.27366640741138,10.36643913883058,16.56395666459367,50,Latin World,base_model,3
1657,27.32940908481034,21.49459493719817,33.91686103631065,60,Latin World,base_model,6
1658,14.035892302308985,11.118127262716591,17.308448676368464,70,Latin World,base_model,3
1659,69.433125537729,54.904895722369254,85.77482781786176,80,Latin World,base_model,15
1660,35.06734826453847,27.405566632788357,43.58263826474852,100,Latin World,base_model,8
1661,4.437846150868776,3.49350170936855,5.490638906167115,110,Latin World,base_model,1
1662,17.44579876451321,13.748576340061046,21.5559186835388,120,Latin World,base_model,4
1663,4.280415545044772,3.3860658550298495,5.286029276817121,130,Latin World,base_model,1
1664,62.938418206474175,50.0448778968763,77.48120915477656,140,Latin World,base_model,15
1665,4.108984629925839,3.279500365892207,5.037401489287575,150,Latin World,base_model,1
1666,12.062151974581305,9.66709808762797,14.766285032211671,160,Latin World,base_model,3
1667,3.9320479983135317,3.1658207170207686,4.795538509925808,170,Latin World,base_model,1
1668,34.594646280422936,27.97363961084745,42.029449644344616,180,Latin World,base_model,9
1669,24.703505186685778,19.946943822979627,29.94463214239724,200,Latin World,base_model,7
