,region_name,occupations_name,decade,score,count_occupations
8898,Nordic countries,poet,1730,10,704
8899,Nordic countries,theologian,1730,11,441
8900,Nordic countries,translator,1730,1,468
8901,Nordic countries,university teacher,1730,3,381
8902,Nordic countries,architect,1740,16,486
8903,Nordic countries,botanist,1740,6,279
8904,Nordic countries,composer,1740,5,472
8905,Nordic countries,drawer,1740,7,377
8906,Nordic countries,historian,1740,14,462
8907,Nordic countries,painter,1740,31,1446
8908,Nordic countries,poet,1740,19,704
8909,Nordic countries,theologian,1740,18,441
8910,Nordic countries,translator,1740,7,468
8911,Nordic countries,university teacher,1740,11,381
8912,Nordic countries,architect,1750,8,486
8913,Nordic countries,botanist,1750,5,279
8914,Nordic countries,composer,1750,7,472
8915,Nordic countries,drawer,1750,5,377
8916,Nordic countries,historian,1750,15,462
8917,Nordic countries,painter,1750,25,1446
8918,Nordic countries,poet,1750,10,704
8919,Nordic countries,theologian,1750,11,441
8920,Nordic countries,translator,1750,7,468
8921,Nordic countries,university teacher,1750,8,381
8922,Nordic countries,architect,1760,12,486
8923,Nordic countries,botanist,1760,21,279
8924,Nordic countries,composer,1760,6,472
8925,Nordic countries,drawer,1760,11,377
8926,Nordic countries,historian,1760,18,462
8927,Nordic countries,painter,1760,45,1446
8928,Nordic countries,poet,1760,19,704
8929,Nordic countries,theologian,1760,13,441
8930,Nordic countries,translator,1760,9,468
8931,Nordic countries,university teacher,1760,8,381
8932,Nordic countries,architect,1770,12,486
8933,Nordic countries,botanist,1770,8,279
8934,Nordic countries,composer,1770,6,472
8935,Nordic countries,drawer,1770,10,377
8936,Nordic countries,historian,1770,15,462
8937,Nordic countries,painter,1770,39,1446
8938,Nordic countries,poet,1770,11,704
8939,Nordic countries,theologian,1770,11,441
8940,Nordic countries,translator,1770,9,468
8941,Nordic countries,university teacher,1770,12,381
8942,Nordic countries,architect,1780,24,486
8943,Nordic countries,botanist,1780,17,279
8944,Nordic countries,composer,1780,10,472
8945,Nordic countries,drawer,1780,15,377
8946,Nordic countries,historian,1780,14,462
8947,Nordic countries,painter,1780,38,1446
8948,Nordic countries,poet,1780,32,704
8949,Nordic countries,theologian,1780,22,441
8950,Nordic countries,translator,1780,16,468
8951,Nordic countries,university teacher,1780,14,381
8952,Nordic countries,architect,1790,20,486
8953,Nordic countries,botanist,1790,11,279
8954,Nordic countries,composer,1790,17,472
8955,Nordic countries,drawer,1790,13,377
8956,Nordic countries,historian,1790,16,462
8957,Nordic countries,painter,1790,34,1446
8958,Nordic countries,poet,1790,25,704
8959,Nordic countries,theologian,1790,11,441
8960,Nordic countries,translator,1790,21,468
8961,Nordic countries,university teacher,1790,11,381
8962,Nordic countries,architect,1800,10,486
8963,Nordic countries,botanist,1800,14,279
8964,Nordic countries,composer,1800,18,472
8965,Nordic countries,drawer,1800,18,377
8966,Nordic countries,historian,1800,13,462
8967,Nordic countries,painter,1800,52,1446
8968,Nordic countries,poet,1800,33,704
8969,Nordic countries,theologian,1800,13,441
8970,Nordic countries,translator,1800,21,468
8971,Nordic countries,university teacher,1800,14,381
8972,Nordic countries,architect,1810,18,486
8973,Nordic countries,botanist,1810,8,279
8974,Nordic countries,composer,1810,16,472
8975,Nordic countries,drawer,1810,19,377
8976,Nordic countries,historian,1810,12,462
8977,Nordic countries,painter,1810,59,1446
8978,Nordic countries,poet,1810,32,704
8979,Nordic countries,theologian,1810,22,441
8980,Nordic countries,translator,1810,18,468
8981,Nordic countries,university teacher,1810,10,381
8982,Nordic countries,architect,1820,20,486
8983,Nordic countries,botanist,1820,19,279
8984,Nordic countries,composer,1820,23,472
8985,Nordic countries,drawer,1820,24,377
8986,Nordic countries,historian,1820,23,462
8987,Nordic countries,painter,1820,72,1446
8988,Nordic countries,poet,1820,53,704
8989,Nordic countries,theologian,1820,15,441
8990,Nordic countries,translator,1820,41,468
8991,Nordic countries,university teacher,1820,17,381
8992,Nordic countries,architect,1830,15,486
8993,Nordic countries,botanist,1830,9,279
8994,Nordic countries,composer,1830,23,472
8995,Nordic countries,drawer,1830,24,377
8996,Nordic countries,historian,1830,29,462
8997,Nordic countries,painter,1830,79,1446
8998,Nordic countries,poet,1830,39,704
8999,Nordic countries,theologian,1830,18,441
9000,Nordic countries,translator,1830,28,468
9001,Nordic countries,university teacher,1830,22,381
9002,Nordic countries,architect,1840,29,486
9003,Nordic countries,botanist,1840,18,279
9004,Nordic countries,composer,1840,52,472
9005,Nordic countries,drawer,1840,41,377
9006,Nordic countries,historian,1840,31,462
9007,Nordic countries,painter,1840,135,1446
9008,Nordic countries,poet,1840,50,704
9009,Nordic countries,theologian,1840,36,441
9010,Nordic countries,translator,1840,36,468
9011,Nordic countries,university teacher,1840,31,381
9012,Nordic countries,architect,1850,28,486
