,region_name,decade,cultural_score,log_cultural_score
2325,Northern France,1440,5,1.791759469228055
2326,Northern France,1450,151,5.0238805208462765
2327,Northern France,1460,23,3.1780538303479458
2328,Northern France,1470,44,3.8066624897703196
2329,Northern France,1480,173,5.159055299214529
2330,Northern France,1490,43,3.784189633918261
2331,Northern France,1500,72,4.290459441148391
2332,Northern France,1510,274,5.616771097666572
2333,Northern France,1520,325,5.786897381366708
2334,Northern France,1530,85,4.454347296253507
2335,Northern France,1540,62,4.143134726391533
2336,Northern France,1550,62,4.143134726391533
2337,Northern France,1560,149,5.0106352940962555
2338,Northern France,1570,58,4.07753744390572
2339,Northern France,1580,144,4.976733742420574
2340,Northern France,1590,2815,7.943072717277933
2341,Northern France,1600,1162,7.0587581525186645
2342,Northern France,1610,981,6.889591308354466
2343,Northern France,1620,2503,7.825644732219989
2344,Northern France,1630,376,5.932245187448011
2345,Northern France,1640,883,6.784457062637643
2346,Northern France,1650,454,6.12029741895095
2347,Northern France,1660,887,6.78897174299217
2348,Northern France,1670,576,6.3578422665081
2349,Northern France,1680,1027,6.93537044601511
2350,Northern France,1690,1317,7.183870715062453
2351,Northern France,1700,1719,7.450079569807499
2352,Northern France,1710,723,6.584791392385716
2353,Northern France,1720,1430,7.266128779556451
2354,Northern France,1730,2012,7.607381425639791
2355,Northern France,1740,2229,7.709756864454165
2356,Northern France,1750,1651,7.409741954080923
2357,Northern France,1760,1818,7.506042178518122
2358,Northern France,1770,2655,7.884576510596324
2359,Northern France,1780,1866,7.532088143541722
2360,Northern France,1790,2929,7.982757702011113
2361,Northern France,1800,13883,9.538492376981678
2362,Northern France,1810,4475,8.406485069431817
2363,Northern France,1820,9698,9.179778066393542
2364,Northern France,1830,5706,8.649448770536708
2365,Northern France,1840,11169,9.320986892063246
2366,Northern France,1850,5947,8.690810307580046
2367,Northern India,-570,2,1.0986122886681098
2368,Northern India,-500,4,1.6094379124341003
2369,Northern India,-370,2,1.0986122886681098
2370,Northern India,-200,4,1.6094379124341003
2371,Northern India,300,4,1.6094379124341003
2372,Northern India,400,2,1.0986122886681098
2373,Northern India,480,1,0.6931471805599453
2374,Northern India,500,2,1.0986122886681098
2375,Northern India,590,8,2.1972245773362196
2376,Northern India,600,5,1.791759469228055
2377,Northern India,1090,9,2.302585092994046
2378,Northern India,1170,5,1.791759469228055
2379,Northern India,1180,2,1.0986122886681098
2380,Northern India,1250,10,2.3978952727983707
2381,Northern India,1350,4,1.6094379124341003
2382,Northern India,1400,2,1.0986122886681098
2383,Northern India,1440,44,3.8066624897703196
2384,Northern India,1470,1,0.6931471805599453
2385,Northern India,1480,2,1.0986122886681098
2386,Northern India,1490,4,1.6094379124341003
2387,Northern India,1500,169,5.135798437050262
2388,Northern India,1520,16,2.833213344056216
2389,Northern India,1530,3,1.3862943611198906
2390,Northern India,1540,1,0.6931471805599453
2391,Northern India,1550,8,2.1972245773362196
2392,Northern India,1560,20,3.044522437723423
2393,Northern India,1570,5,1.791759469228055
2394,Northern India,1590,6,1.9459101490553132
2395,Northern India,1600,3,1.3862943611198906
2396,Northern India,1620,3,1.3862943611198906
2397,Northern India,1670,1,0.6931471805599453
2398,Northern India,1690,1,0.6931471805599453
2399,Northern India,1700,2,1.0986122886681098
2400,Northern India,1710,14,2.70805020110221
2401,Northern India,1720,7,2.0794415416798357
2402,Northern India,1730,10,2.3978952727983707
2403,Northern India,1740,4,1.6094379124341003
2404,Northern India,1750,1,0.6931471805599453
2405,Northern India,1770,12,2.5649493574615367
2406,Northern India,1780,5,1.791759469228055
2407,Northern India,1800,1,0.6931471805599453
2408,Northern India,1810,131,4.882801922586371
2409,Northern India,1820,138,4.9344739331306915
2410,Northern India,1830,25,3.258096538021482
2411,Northern India,1840,90,4.51085950651685
2412,Northern India,1850,72,4.290459441148391
2413,Northern Italy,-250,56,4.04305126783455
2414,Northern Italy,-220,1,0.6931471805599453
2415,Northern Italy,-170,14,2.70805020110221
2416,Northern Italy,-120,32,3.4965075614664802
2417,Northern Italy,-100,41,3.7376696182833684
2418,Northern Italy,-80,210,5.351858133476067
2419,Northern Italy,-70,79,4.382026634673881
2420,Northern Italy,-60,8,2.1972245773362196
2421,Northern Italy,-50,7,2.0794415416798357
2422,Northern Italy,-40,126,4.844187086458591
2423,Northern Italy,-10,6,1.9459101490553132
2424,Northern Italy,20,17,2.8903717578961645
2425,Northern Italy,30,26,3.295836866004329
2426,Northern Italy,40,1,0.6931471805599453
2427,Northern Italy,50,24,3.2188758248682006
2428,Northern Italy,60,2,1.0986122886681098
2429,Northern Italy,70,4,1.6094379124341003
2430,Northern Italy,100,1,0.6931471805599453
2431,Northern Italy,170,1,0.6931471805599453
2432,Northern Italy,190,2,1.0986122886681098
2433,Northern Italy,300,4,1.6094379124341003
2434,Northern Italy,320,1,0.6931471805599453
2435,Northern Italy,360,4,1.6094379124341003
2436,Northern Italy,400,1,0.6931471805599453
2437,Northern Italy,500,4,1.6094379124341003
2438,Northern Italy,530,18,2.9444389791664403
2439,Northern Italy,600,5,1.791759469228055
2440,Northern Italy,720,8,2.1972245773362196
2441,Northern Italy,800,1,0.6931471805599453
2442,Northern Italy,1010,2,1.0986122886681098
2443,Northern Italy,1030,9,2.302585092994046
2444,Northern Italy,1050,1,0.6931471805599453
2445,Northern Italy,1080,1,0.6931471805599453
2446,Northern Italy,1100,7,2.0794415416798357
2447,Northern Italy,1120,1,0.6931471805599453
2448,Northern Italy,1150,3,1.3862943611198906
2449,Northern Italy,1170,2,1.0986122886681098
2450,Northern Italy,1180,28,3.367295829986474
2451,Northern Italy,1190,11,2.4849066497880004
2452,Northern Italy,1200,22,3.1354942159291497
2453,Northern Italy,1210,2,1.0986122886681098
2454,Northern Italy,1220,21,3.091042453358316
2455,Northern Italy,1230,26,3.295836866004329
2456,Northern Italy,1240,65,4.189654742026425
2457,Northern Italy,1250,66,4.204692619390966
2458,Northern Italy,1260,351,5.863631175598097
2459,Northern Italy,1270,11,2.4849066497880004
2460,Northern Italy,1280,373,5.924255797414532
2461,Northern Italy,1290,180,5.198497031265826
2462,Northern Italy,1300,842,6.736966958001855
2463,Northern Italy,1310,247,5.5134287461649825
2464,Northern Italy,1320,142,4.962844630259907
2465,Northern Italy,1330,122,4.812184355372417
2466,Northern Italy,1340,59,4.0943445622221
2467,Northern Italy,1350,209,5.3471075307174685
2468,Northern Italy,1360,127,4.852030263919617
