,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,gdp_per_capita,inclusive,restricted
567,1377,France,12.15,132.5726404216347,109.25284138845483,157.50299253009462,9.899999999999999,0.8200000000000001,9.049953448169138,10.981317297937192,13.046052762011453,1830,1,1
568,1378,France,12.1,142.0254837391496,117.08181860555345,168.68961782061808,10.6,0.88,9.720518216550278,11.791188486796443,14.004670408053883,1830,1,1
569,1379,France,12.05,151.47832705666448,124.91079582265206,179.87624311114152,11.3,0.9400000000000001,10.391082984931417,12.601059675655694,14.963288054096314,1830,1,1
570,1380,France,12.0,160.93117037417937,132.73977303975067,191.06286840166496,12.0,1.0,11.061647753312556,13.410930864514947,15.921905700138746,1812,1,1
571,1381,France,11.95,162.4232338725642,134.06663021383127,192.7644523029037,12.3,1.0304347826086957,11.225120758681793,13.59898391161152,16.13909519459489,1795,1,1
572,1382,France,11.9,163.91529737094902,135.39348738791185,194.4660362041424,12.6,1.0608695652173914,11.388593764051029,13.787036958708091,16.356284689051034,1779,1,1
573,1383,France,11.85,165.40736086933384,136.72034456199245,196.1676201053811,12.9,1.0913043478260869,11.552066769420264,13.975090005804661,16.57347418350718,1761,1,1
574,1384,France,11.8,166.89942436771867,138.04720173607302,197.86920400661984,13.2,1.1217391304347826,11.715539774789502,14.163143052901233,16.790663677963323,1761,1,1
575,1385,France,11.75,168.3914878661035,139.37405891015362,199.57078790785857,13.5,1.1521739130434783,11.879012780158739,14.351196099997805,17.007853172419466,1761,1,1
576,1386,France,11.7,169.88355136448834,140.70091608423422,201.27237180909728,13.8,1.182608695652174,12.042485785527974,14.539249147094377,17.225042666875613,1779,1,1
577,1387,France,11.65,171.37561486287316,142.0277732583148,202.97395571033599,14.1,1.2130434782608697,12.20595879089721,14.72730219419095,17.442232161331756,1795,1,1
578,1388,France,11.6,172.867678361258,143.3546304323954,204.67553961157472,14.4,1.2434782608695651,12.369431796266447,14.91535524128752,17.6594216557879,1812,1,1
579,1389,France,11.55,174.3597418596428,144.68148760647597,206.37712351281345,14.7,1.2739130434782608,12.532904801635684,15.103408288384092,17.876611150244045,1846,1,1
580,1390,France,11.5,175.85180535802763,146.00834478055657,208.07870741405216,15.0,1.3043478260869565,12.69637780700492,15.291461335480664,18.09380064470019,1881,1,1
581,1391,France,11.45,223.68010162029563,186.0647651628533,264.30327692786335,17.9,1.5739130434782609,16.395581377245556,19.70899491084812,23.28736969434075,1881,1,1
582,1392,France,11.4,271.5083978825636,226.12118554515004,320.5278464416745,20.8,1.8434782608695652,20.09478494748619,24.126528486215577,28.480938743981312,1881,1,1
583,1393,France,11.35,319.33669414483165,266.1776059274468,376.75241595548573,23.7,2.1130434782608694,23.793988517726824,28.544062061583034,33.67450779362187,1863,1,1
584,1394,France,11.3,367.1649904070996,306.2340263097435,432.9769854692969,26.6,2.382608695652174,27.493192087967458,32.96159563695049,38.868076843262436,1863,1,1
585,1395,France,11.25,414.99328666936765,346.29044669204023,489.20155498310805,29.5,2.6521739130434785,31.192395658208092,37.37912921231795,44.061645892903,1846,1,1
586,1396,France,11.2,462.8215829316356,386.34686707433696,545.4261244969192,32.4,2.9217391304347826,34.89159922844873,41.796662787685406,49.25521494254356,1881,1,1
587,1397,France,11.15,510.64987919390364,426.40328745663373,601.6506940107304,35.3,3.1913043478260867,38.59080279868937,46.214196363052864,54.448783992184126,1863,1,1
588,1398,France,11.1,558.4781754561716,466.45970783893046,657.8752635245415,38.2,3.4608695652173913,42.29000636893,50.63172993842032,59.642353041824684,1863,1,1
589,1399,France,11.05,606.3064717184396,506.5161282212272,714.0998330383527,41.099999999999994,3.7304347826086954,45.989209939170635,55.04926351378778,64.83592209146525,1846,1,1
590,1400,France,11.0,654.1347679807076,546.572548603524,770.3244025521639,44.0,4.0,49.68841350941127,59.466797089155236,70.02949114110581,1795,1,1
591,1401,France,11.04,599.6909148820685,501.13579605562086,706.1434556930852,40.7,3.6964912280701756,45.528388150790256,54.48236507317231,64.15386600911258,1779,1,1
592,1402,France,11.08,545.2470617834293,455.6990435077177,641.9625088340066,37.4,3.3929824561403508,41.368362792169236,49.49793305718939,58.27824087711934,1761,1,1
593,1403,France,11.120000000000001,490.80320868479026,410.2622909598146,577.7815619749279,34.1,3.0894736842105264,37.20833743354822,44.51350104120647,52.4026157451261,1745,1,1
594,1404,France,11.16,436.3593555861512,364.82553841191145,513.6006151158492,30.8,2.7859649122807015,33.04831207492721,39.52906902522355,46.52699061313287,1728,1,1
595,1405,France,11.2,381.9155024875121,319.38878586400836,449.41966825677065,27.5,2.482456140350877,28.888286716306197,34.544637009240624,40.651365481139635,1745,1,1
596,1406,France,11.24,327.47164938887295,273.95203331610526,385.23872139769196,24.200000000000003,2.1789473684210527,24.72826135768518,29.5602049932577,34.775740349146396,1745,1,1
597,1407,France,11.280000000000001,273.0277962902339,228.5152807682021,321.05777453861333,20.900000000000002,1.875438596491228,20.568235999064164,24.57577297727478,28.900115217153157,1761,1,1
598,1408,France,11.32,218.58394319159476,183.078528220299,256.8768276795347,17.6,1.5719298245614035,16.40821064044315,19.591340961291856,23.024490085159925,1761,1,1
599,1409,France,11.36,164.14009009295563,137.6417756723959,192.69588082045607,14.3,1.2684210526315791,12.248185281822138,14.60690894530893,17.148864953166694,1761,1,1
600,1410,France,11.4,109.69623699431654,92.20502312449278,128.5149339613774,11.0,0.9649122807017544,8.088159923201122,9.622476929326012,11.273239821173457,1761,1,1
601,1411,France,11.440000000000001,133.17309745424484,112.13080642827444,155.8521094596511,12.4,1.0802854594112399,9.749368135646343,11.579422809220526,13.551735236887588,1761,1,1
602,1412,France,11.48,156.64995791417317,132.05658973205607,183.18928495792477,13.8,1.1956586381207255,11.410576348091563,13.53636868911504,15.83023065260172,1745,1,1
603,1413,France,11.52,180.12681837410148,151.98237303583772,210.52646045619846,15.2,1.311031816830211,13.071784560536782,15.493314569009556,18.108726068315853,1745,1,1
604,1414,France,11.56,203.60367883402978,171.90815633961938,237.86363595447216,16.6,1.4264049955396967,14.732992772982003,17.450260448904068,20.387221484029983,1745,1,1
605,1415,France,11.600000000000001,227.08053929395808,191.83393964340104,265.2008114527458,18.0,1.541778174249182,16.394200985427226,19.407206328798583,22.665716899744112,1745,1,1
606,1416,France,11.64,250.55739975388641,211.7597229471827,292.53798695101955,19.4,1.657151352958668,18.055409197872443,21.3641522086931,24.944212315458245,1745,1,1
607,1417,France,11.68,274.0342602138147,231.68550625096432,319.8751624492932,20.799999999999997,1.7725245316681533,19.716617410317664,23.32109808858761,27.222707731172378,1728,1,1
608,1418,France,11.72,297.511120673743,251.61128955474598,347.2123379475669,22.2,1.8878977103776389,21.377825622762884,25.278043968482127,29.50120314688651,1728,1,1
609,1419,France,11.760000000000002,320.9879811336713,271.5370728585276,374.5495134458406,23.6,2.0032708890871245,23.039033835208105,27.234989848376642,31.779698562600643,1728,1,1
610,1420,France,11.8,344.46484159359966,291.46285616230927,401.8866889441143,25.0,2.11864406779661,24.700242047653326,29.191935728271154,34.05819397831477,1728,1,1
611,1421,France,11.84,325.2273772761745,275.25249298082565,379.39398161905405,24.0,2.02973048068908,23.290539353932854,27.51938312609443,32.102863233708796,1728,1,1
612,1422,France,11.88,305.98991295874924,259.042129799342,356.9012742939938,23.0,1.9408168935815502,21.88083666021238,25.846830523917703,30.147532489102826,1745,1,1
613,1423,France,11.92,286.752448641324,242.83176661785834,334.40856696893354,22.0,1.8519033064740205,20.471133966491905,24.17427792174098,28.192201744496856,1745,1,1
614,1424,France,11.96,267.51498432389883,226.6214034363747,311.91585964387326,21.0,1.7629897193664905,19.061431272771433,22.501725319564255,26.236870999890883,1745,1,1
615,1425,France,12.0,248.27752000647362,210.41104025489105,289.423152318813,20.0,1.6740761322589606,17.65172857905096,20.82917271738753,24.281540255284913,1745,1,1
616,1426,France,12.04,229.04005568904842,194.2006770734074,266.93044499375276,19.0,1.5851625451514308,16.242025885330484,19.156620115210803,22.326209510678943,1761,1,1
617,1427,France,12.08,209.8025913716232,177.99031389192376,244.43773766869248,18.0,1.4962489580439011,14.832323191610012,17.484067513034077,20.37087876607297,1745,1,1
