,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,gdp_per_capita
4687,1586,United Kingdom,4.852,970.5053792101673,833.0075730585953,1119.0442297862353,90.2,18.629136702907193,172.14655575396236,200.5657655106108,231.26680385071563,re_united_kingdom,1356
4688,1587,United Kingdom,4.859,895.891831241858,769.4895049388138,1032.4760766834265,84.9,17.506688592754166,158.76848754187898,184.85317594325164,213.03881279454288,re_united_kingdom,1502
4689,1588,United Kingdom,4.866,821.2782832735486,705.9714368190321,945.9079235806178,79.6,16.384240482601136,145.39041932979563,169.14058637589247,194.81082173837012,re_united_kingdom,1690
4690,1589,United Kingdom,4.873,746.6647353052392,642.4533686992505,859.339770477809,74.30000000000001,15.26179237244811,132.01235111771229,153.42799680853332,176.58283068219737,re_united_kingdom,1474
4691,1590,United Kingdom,4.88,672.0511873369298,578.935300579469,772.7716173750001,69.0,14.139344262295083,118.6342829056289,137.71540724117415,158.3548396260246,re_united_kingdom,1558
4692,1591,United Kingdom,4.887,791.9531277705072,683.269720993624,909.208555537949,78.7,16.07894518960093,139.54417794276338,161.74327240943458,185.69392129987648,re_united_kingdom,1568
4693,1592,United Kingdom,4.894,911.8550682040844,787.604141407779,1045.645493700898,88.4,18.018546116906773,160.45407297989783,185.771137577695,213.03300297372834,re_united_kingdom,1692
4694,1593,United Kingdom,4.901,1031.7570086376618,891.9385618219342,1182.082431863847,98.1,19.95814704421262,181.36396801703233,209.79900274595542,240.37208464758018,re_united_kingdom,1792
4695,1594,United Kingdom,4.908,1151.658949071239,996.2729822360892,1318.5193700267957,107.8,21.897747971518463,202.27386305416678,233.82686791421582,267.7111663214321,re_united_kingdom,1454
4696,1595,United Kingdom,4.915,1271.5608895048163,1100.6074026502442,1454.9563081897445,117.5,23.83734889882431,223.18375809130129,257.8547330824763,295.05024799528394,re_united_kingdom,1453
4697,1596,United Kingdom,4.922,1391.4628299383937,1204.9418230643994,1591.3932463526935,127.19999999999999,25.776949826130156,244.09365312843573,281.8825982507367,322.38932966913575,re_united_kingdom,1379
4698,1597,United Kingdom,4.929,1511.364770371971,1309.2762434785545,1727.8301845156425,136.89999999999998,27.716550753436003,265.00354816557024,305.9104634189971,349.7284113429876,re_united_kingdom,1316
4699,1598,United Kingdom,4.936,1631.2667108055484,1413.6106638927095,1864.2671226785915,146.6,29.656151680741846,285.9134432027047,329.9383285872575,377.0674930168395,re_united_kingdom,1569
4700,1599,United Kingdom,4.9430000000000005,1751.1686512391257,1517.9450843068644,2000.7040608415405,156.3,31.595752608047693,306.8233382398392,353.96619375551796,404.40657469069134,re_united_kingdom,1788
4701,1600,United Kingdom,4.95,1871.070591672703,1622.2795047210195,2137.140999004489,166.0,33.535353535353536,327.73323327697364,377.99405892377837,431.7456563645432,re_united_kingdom,1691
4702,1601,United Kingdom,4.9670000000000005,1806.509587099805,1566.9701489583447,2062.473730706957,161.3,32.50603693181818,315.8424479784613,364.1294293193639,415.7286750255336,re_united_kingdom,1671
4703,1602,United Kingdom,4.984,1741.948582526907,1511.6607931956698,1987.8064624094254,156.6,31.47672032828283,303.95166267994887,350.2647997149494,399.7116936865241,re_united_kingdom,1751
4704,1603,United Kingdom,5.001,1677.3875779540092,1456.351437432995,1913.1391941118936,151.9,30.447403724747474,292.0608773814365,336.40017011053493,383.6947123475145,re_united_kingdom,1849
4705,1604,United Kingdom,5.018,1612.8265733811113,1401.0420816703202,1838.4719258143618,147.2,29.41808712121212,280.1700920829241,322.53554050612047,367.6777310085049,re_united_kingdom,1967
4706,1605,United Kingdom,5.035,1548.2655688082134,1345.7327259076453,1763.80465751683,142.5,28.388770517676768,268.27930678441174,308.67091090170595,351.6607496694953,re_united_kingdom,1752
4707,1606,United Kingdom,5.0520000000000005,1483.7045642353155,1290.4233701449705,1689.1373892192983,137.8,27.359453914141415,256.38852148589933,294.8062812972915,335.6437683304858,re_united_kingdom,1831
4708,1607,United Kingdom,5.069,1419.1435596624176,1235.1140143822956,1614.4701209217665,133.1,26.330137310606062,244.49773618738698,280.94165169287703,319.6267869914762,re_united_kingdom,1660
4709,1608,United Kingdom,5.086,1354.5825550895197,1179.8046586196208,1539.8028526242347,128.4,25.300820707070706,232.6069508888746,267.0770220884625,303.60980565246666,re_united_kingdom,1571
4710,1609,United Kingdom,5.103,1290.0215505166218,1124.495302856946,1465.1355843267029,123.69999999999999,24.271504103535356,220.7161655903622,253.21239248404805,287.5928243134571,re_united_kingdom,1812
4711,1610,United Kingdom,5.12,1225.460545943724,1069.1859470942711,1390.468316029171,119.0,23.2421875,208.82538029184983,239.34776287963356,271.5758429744475,re_united_kingdom,1919
4712,1611,United Kingdom,5.1370000000000005,1245.70842676131,1087.8910764453844,1412.4895894538067,121.3,23.60227876890359,211.690238115319,242.40616908920487,274.8659155820222,re_united_kingdom,1757
4713,1612,United Kingdom,5.154,1265.9563075788958,1106.5962057964978,1434.5108628784424,123.6,23.962370037807183,214.55509593878816,245.46457529877617,278.1559881895968,re_united_kingdom,1675
4714,1613,United Kingdom,5.171,1286.2041883964816,1125.301335147611,1456.5321363030782,125.9,24.322461306710775,217.41995376225734,248.52298150834747,281.4460607971715,re_united_kingdom,1612
4715,1614,United Kingdom,5.188,1306.4520692140677,1144.0064644987244,1478.5534097277139,128.2,24.682552575614366,220.2848115857265,251.58138771791877,284.7361334047462,re_united_kingdom,1555
4716,1615,United Kingdom,5.205,1326.6999500316538,1162.7115938498378,1500.5746831523495,130.5,25.042643844517958,223.14966940919567,254.63979392749008,288.0262060123209,re_united_kingdom,1681
4717,1616,United Kingdom,5.222,1346.9478308492396,1181.4167232009513,1522.5959565769851,132.8,25.40273511342155,226.01452723266482,257.69820013706135,291.31627861989557,re_united_kingdom,1586
4718,1617,United Kingdom,5.239,1367.1957116668254,1200.1218525520646,1544.6172300016208,135.1,25.76282638232514,228.879385056134,260.7566063466327,294.60635122747027,re_united_kingdom,1749
4719,1618,United Kingdom,5.256,1387.4435924844115,1218.826981903178,1566.6385034262566,137.4,26.122917651228732,231.74424287960318,263.81501255620395,297.89642383504497,re_united_kingdom,1740
4720,1619,United Kingdom,5.273,1407.6914733019976,1237.5321112542913,1588.6597768508923,139.7,26.483008920132324,234.60910070307233,266.8734187657753,301.1864964426196,re_united_kingdom,1586
4721,1620,United Kingdom,5.29,1427.9393541195834,1256.2372406054046,1610.681050275528,142.0,26.843100189035916,237.4739585265415,269.93182497534656,304.4765690501943,re_united_kingdom,1842
4722,1621,United Kingdom,5.307,1369.7536330397718,1205.4700880703463,1544.5802747936877,136.2,25.697251708593864,227.4365574587742,258.43465242875453,291.4221959447559,re_united_kingdom,1832
4723,1622,United Kingdom,5.324,1311.5679119599604,1154.702935535288,1478.4794993118473,130.4,24.55140322815181,217.3991563910069,246.93747988216253,278.36782283931757,re_united_kingdom,1581
4724,1623,United Kingdom,5.341,1253.3821908801488,1103.9357830002298,1412.378723830007,124.6,23.405554747709758,207.36175532323958,235.4403073355705,265.31344973387917,re_united_kingdom,1568
4725,1624,United Kingdom,5.358,1195.1964698003374,1053.1686304651714,1346.2779483481668,118.8,22.259706267267703,197.32435425547226,223.94313478897848,252.25907662844077,re_united_kingdom,1781
4726,1625,United Kingdom,5.375,1137.0107487205257,1002.4014779301131,1280.1771728663266,113.0,21.11385778682565,187.28695318770497,212.44596224238649,239.20470352300237,re_united_kingdom,1798
4727,1626,United Kingdom,5.392,1078.8250276407143,951.6343253950548,1214.0763973844862,107.2,19.9680093063836,177.24955211993765,200.94878969579446,226.150330417564,re_united_kingdom,1730
4728,1627,United Kingdom,5.409,1020.6393065609027,900.8671728599966,1147.9756219026458,101.4,18.822160825941545,167.21215105217033,189.45161714920243,213.09595731212562,re_united_kingdom,1733
4729,1628,United Kingdom,5.426,962.4535854810911,850.1000203249382,1081.8748464208056,95.6,17.67631234549949,157.17474998440304,177.9544446026104,200.04158420668722,re_united_kingdom,1947
4730,1629,United Kingdom,5.443,904.2678644012796,799.3328677898799,1015.7740709389653,89.80000000000001,16.53046386505744,147.13734891663574,166.4572720560184,186.98721110124882,re_united_kingdom,1430
4731,1630,United Kingdom,5.46,846.082143321468,748.5657152548216,949.673295457125,84.0,15.384615384615385,137.09994784886842,154.96009950942639,173.93283799581044,re_united_kingdom,1416
4732,1631,United Kingdom,5.477,945.858889609385,837.8264681989981,1060.624636828109,94.0,17.114359885230222,152.54045474598135,172.2145266135572,193.1148065793016,re_united_kingdom,1451
4733,1632,United Kingdom,5.494,1045.6356358973019,927.0872211431746,1171.5759781990928,104.0,18.84410438584506,167.98096164309425,189.46895371768807,212.29677516279273,re_united_kingdom,1630
4734,1633,United Kingdom,5.511,1145.4123821852186,1016.3479740873511,1282.5273195700768,114.0,20.5738488864599,183.42146854020717,206.72338082181892,231.4787437462839,re_united_kingdom,1501
4735,1634,United Kingdom,5.528,1245.1891284731355,1105.6087270315275,1393.4786609410608,124.0,22.303593387074738,198.8619754373201,223.97780792594975,250.66071232977504,re_united_kingdom,1519
4736,1635,United Kingdom,5.545,1344.9658747610524,1194.869479975704,1504.4300023120445,134.0,24.033337887689576,214.30248233443302,241.23223503008057,269.8426809132662,re_united_kingdom,1571
4737,1636,United Kingdom,5.562,1444.7426210489693,1284.1302329198804,1615.3813436830285,144.0,25.76308238830441,229.74298923154592,258.48666213421143,289.0246494967573,re_united_kingdom,1526
4738,1637,United Kingdom,5.579,1544.5193673368863,1373.3909858640568,1726.3326850540125,154.0,27.49282688891925,245.18349612865885,275.7410892383423,308.20661808024846,re_united_kingdom,1476
4739,1638,United Kingdom,5.596,1644.2961136248032,1462.6517388082334,1837.2840264249962,164.0,29.22257138953409,260.62400302577174,292.99551634247314,327.3885866637396,re_united_kingdom,1624
4740,1639,United Kingdom,5.6129999999999995,1744.07285991272,1551.91249175241,1948.2353677959802,174.0,30.952315890148927,276.06450992288467,310.249943446604,346.57055524723074,re_united_kingdom,1640
4741,1640,United Kingdom,5.63,1843.8496062006368,1641.1732446965864,2059.186709166964,184.0,32.682060390763766,291.5050168199976,327.5043705507348,365.7525238307219,re_united_kingdom,1683
4742,1641,United Kingdom,5.647,1789.110962846001,1593.0408061327685,1997.4376903830012,179.2,31.758681937894288,282.3519092596945,317.1067468172868,354.03410802225886,re_united_kingdom,1499
