,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
176,1855,Italy,25.9,15727.384566519926,14531.867966083712,16923.60360065956,1088.5,41.883731343283586,559.3554617127277,605.2771430524592,651.2322955065165,re_italy,ITA,2373
177,1856,Italy,26.080000000000002,16128.178883790686,14889.028182537168,17367.09143792992,1117.4,42.708477611940296,569.2580189847419,616.545267821622,663.8294392933576,re_italy,ITA,2381
178,1857,Italy,26.26,16528.973201061446,15246.188398990624,17810.57927520028,1146.3,43.53322388059701,579.1605762567559,627.8133925907848,676.4265830801988,re_italy,ITA,2573
179,1858,Italy,26.44,16929.767518332206,15603.34861544408,18254.067112470642,1175.2,44.35797014925373,589.06313352877,639.0815173599476,689.0237268670401,re_italy,ITA,2673
180,1859,Italy,26.62,17330.561835602963,15960.508831897536,18697.554949741,1204.1,45.18271641791045,598.9656908007842,650.3496421291104,701.6208706538812,re_italy,ITA,2588
181,1860,Italy,26.8,17731.356152873723,16317.669048350992,19141.04278701136,1233.0,46.007462686567166,608.8682480727982,661.6177668982732,714.2180144407224,re_italy,ITA,2573
182,1861,Italy,26.98,17356.19492445966,15957.589503387675,18755.690569871265,1209.8,44.90671641791045,592.4460162680282,644.3362135256946,696.2490822820013,re_italy,ITA,2558
183,1862,Italy,27.16,16981.0336960456,15597.509958424356,18370.33835273117,1186.6,43.80597014925373,576.0237844632583,627.0546601531158,678.2801501232801,re_italy,ITA,2634
184,1863,Italy,27.34,16605.87246763154,15237.43041346104,17984.986135591076,1163.4,42.70522388059702,559.6015526584883,609.7731067805372,660.311217964559,re_italy,ITA,2688
185,1864,Italy,27.52,16230.711239217479,14877.35086849772,17599.63391845098,1140.2,41.6044776119403,543.1793208537183,592.4915534079585,642.3422858058378,re_italy,ITA,2642
186,1865,Italy,27.700000000000003,15855.550010803418,14517.271323534404,17214.281701310887,1117.0,40.50373134328358,526.7570890489483,575.2100000353798,624.3733536471167,re_italy,ITA,2780
187,1866,Italy,27.880000000000003,15480.388782389356,14157.191778571087,16828.929484170792,1093.8,39.40298507462687,510.33485724417835,557.9284466628011,606.4044214883955,re_italy,ITA,2588
188,1867,Italy,28.060000000000002,15105.227553975295,13797.112233607768,16443.577267030698,1070.6,38.30223880597015,493.9126254394084,540.6468932902225,588.4354893296744,re_italy,ITA,2611
189,1868,Italy,28.240000000000002,14730.066325561234,13437.03268864445,16058.225049890603,1047.4,37.201492537313435,477.4903936346384,523.3653399176437,570.4665571709533,re_italy,ITA,2627
190,1869,Italy,28.42,14354.905097147173,13076.953143681132,15672.872832750509,1024.2,36.100746268656714,461.0681618298684,506.0837865450651,552.4976250122321,re_italy,ITA,2696
191,1870,Italy,28.6,13979.743868733112,12716.873598717815,15287.520615610414,1001.0,35.0,444.64593002509844,488.8022331724864,534.528692853511,re_italy,ITA,2826
192,1871,Italy,28.78,14686.803061807035,13327.534489688662,16105.829651049036,1051.0,36.4375,462.100687379254,509.1665355113968,558.2817807063067,re_italy,ITA,2811
193,1872,Italy,28.96,15393.862254880958,13938.195380659508,16924.13868648766,1101.0,37.875,479.55544473340956,529.5308378503072,582.0348685591024,re_italy,ITA,2593
194,1873,Italy,29.14,16100.921447954881,14548.856271630355,17742.44772192628,1151.0,39.3125,497.0102020875651,549.8951401892175,605.7879564118982,re_italy,ITA,2581
195,1874,Italy,29.32,16807.980641028804,15159.517162601202,18560.756757364903,1201.0,40.75,514.4649594417207,570.2594425281279,629.5410442646939,re_italy,ITA,2715
196,1875,Italy,29.5,17515.039834102725,15770.178053572048,19379.065792803525,1251.0,42.1875,531.9197167958762,590.6237448670383,653.2941321174897,re_italy,ITA,2727
197,1876,Italy,29.68,18222.09902717665,16380.838944542895,20197.374828242147,1301.0,43.625,549.3744741500318,610.9880472059488,677.0472199702854,re_italy,ITA,2662
198,1877,Italy,29.86,18929.158220250574,16991.499835513743,21015.68386368077,1351.0,45.0625,566.8292315041874,631.3523495448591,700.8003078230811,re_italy,ITA,2678
199,1878,Italy,30.04,19636.217413324495,17602.160726484588,21833.992899119392,1401.0,46.5,584.2839888583429,651.7166518837695,724.5533956758768,re_italy,ITA,2745
200,1879,Italy,30.22,20343.276606398416,18212.821617455433,22652.301934558014,1451.0,47.9375,601.7387462124984,672.0809542226798,748.3064835286726,re_italy,ITA,2753
201,1880,Italy,30.4,21050.33579947234,18823.48250842628,23470.610969996636,1501.0,49.375,619.193503566654,692.4452565615902,772.0595713814683,re_italy,ITA,2796
202,1815,Low countries,5.925000000000001,2070.403784577327,1917.346578913279,2227.7823616023525,291.0,48.87034659820282,321.47146422232504,347.16504091399145,373.57613482901627,re_low_countries,NLD,3011
203,1816,Low countries,5.970000000000001,2156.8677084712735,1998.321069355567,2320.1371047692624,300.8,50.15318784766795,332.6964894632167,359.12141172459354,386.326146153844,re_low_countries,NLD,2869
204,1817,Low countries,6.015000000000001,2243.3316323652207,2079.2955597978553,2412.4918479361722,310.6,51.43602909713307,343.9215147041084,371.07778253519564,399.07615747867163,re_low_countries,NLD,2898
205,1818,Low countries,6.0600000000000005,2329.795556259168,2160.270050240143,2504.846591103082,320.4,52.7188703465982,355.14653994500014,383.0341533457977,411.82616880349934,re_low_countries,NLD,2942
206,1819,Low countries,6.105,2416.2594801531145,2241.244540682431,2597.201334269992,330.2,54.00171159606332,366.3715651858919,394.9905241563998,424.57618012832705,re_low_countries,NLD,2807
207,1820,Low countries,6.15,2502.7234040470616,2322.219031124719,2689.556077436902,340.0,55.28455284552845,377.59659042678356,406.94689496700187,437.32619145315476,re_low_countries,NLD,3006
208,1821,Low countries,6.195,2534.9486701960695,2353.3559161886164,2723.2974791132356,342.3,55.256097560975604,379.7397780774945,409.05487312995535,439.45675555329746,re_low_countries,NLD,2947
209,1822,Low countries,6.24,2567.173936345078,2384.492801252514,2757.0388807895697,344.6,55.22764227642276,381.8829657282054,411.16285129290884,441.5873196534402,re_low_countries,NLD,2974
210,1823,Low countries,6.285,2599.399202494086,2415.629686316411,2790.7802824659034,346.9,55.199186991869915,384.0261533789164,413.2708294558623,443.7178837535829,re_low_countries,NLD,3121
211,1824,Low countries,6.33,2631.624468643094,2446.7665713803085,2824.521684142237,349.2,55.170731707317074,386.1693410296273,415.3788076188158,445.8484478537256,re_low_countries,NLD,3100
212,1825,Low countries,6.375,2663.849734792102,2477.9034564442063,2858.263085818571,351.5,55.142276422764226,388.31252868033823,417.4867857817693,447.9790119538683,re_low_countries,NLD,3022
213,1826,Low countries,6.42,2696.07500094111,2509.0403415081037,2892.004487494905,353.8,55.11382113821138,390.4557163310492,419.5947639447228,450.10957605401103,re_low_countries,NLD,3068
214,1827,Low countries,6.465,2728.3002670901183,2540.177226572001,2925.7458891712386,356.1,55.08536585365854,392.5989039817601,421.7027421076763,452.2401401541537,re_low_countries,NLD,3250
215,1828,Low countries,6.51,2760.525533239126,2571.3141116358984,2959.4872908475722,358.4,55.05691056910569,394.74209163247104,423.81072027062976,454.3707042542964,re_low_countries,NLD,3319
216,1829,Low countries,6.555,2792.7507993881345,2602.4509966997957,2993.2286925239064,360.7,55.02845528455285,396.88527928318194,425.91869843358324,456.50126835443916,re_low_countries,NLD,3325
217,1830,Low countries,6.6,2824.9760655371424,2633.587881763693,3026.97009420024,363.0,55.0,399.0284669338929,428.02667659653673,458.63183245458185,re_low_countries,NLD,3038
218,1831,Low countries,6.645,3175.101415905309,2961.151671105508,3399.838648974981,406.7,60.847517730496456,442.94442556223186,474.9577616917598,508.5935519317853,re_low_countries,NLD,3264
