,region,decade,count_cps,N_est,lower,upper
491,Chinese world,1290,5,20.138640930348775,17.769959898521318,22.61797898380442
483,Chinese world,1180,5,10.89818372787288,9.883821950838634,11.995032690834641
424,Chinese world,380,5,13.69750216479416,11.373107509098103,16.28733137808601
486,Chinese world,1230,5,19.09057451780458,16.894080427879175,21.376687768034074
437,Chinese world,580,4,14.47399264911272,11.813457196976204,17.373945369474853
464,Chinese world,950,4,15.8339100771807,13.433368324937076,18.354493446511544
461,Chinese world,920,4,14.447397852518364,12.2832663525375,16.713011349346996
447,Chinese world,740,4,25.07020063957058,19.33125331074212,31.094068884907085
430,Chinese world,480,4,11.197584242469473,9.359027234513814,13.1690062505444
412,Chinese world,260,4,11.15112045347228,9.310740796904076,13.17216256794958
471,Chinese world,1040,4,10.246405982218931,8.944059768438834,11.627891936763763
478,Chinese world,1120,4,14.88491035771962,12.94846806090518,16.9160071035679
395,Chinese world,-10,3,13.239558041322486,10.544511781691988,16.172619029649034
413,Chinese world,270,3,9.158768297132111,7.60795589960844,10.844967913132605
408,Chinese world,220,3,10.251625392691706,8.37072467406086,12.346999560230064
407,Chinese world,210,3,19.209259131860247,14.876818950544212,24.070999959890475
511,Chinese world,1490,3,24.24870207966399,21.448548858404266,27.156364488084833
475,Chinese world,1080,3,9.982830723647748,8.619177284928686,11.43765981908627
434,Chinese world,540,3,22.80372673516725,17.90605989229086,28.117697734605365
459,Chinese world,900,3,13.370285987316883,11.227075205975636,15.59081208747512
449,Chinese world,760,3,18.45629866440068,14.33668758257592,22.78887564092232
452,Chinese world,790,3,17.59799498320144,13.886495877204757,21.47093965978318
427,Chinese world,410,3,6.965998233549339,5.887002952237014,8.192125178691242
460,Chinese world,910,3,13.030942656291572,10.976143433600216,15.18920236840816
422,Chinese world,360,3,6.829827006422704,5.797407817228347,7.985738576357203
484,Chinese world,1200,3,11.841924218020774,10.44934384138283,13.295551514700385
414,Chinese world,280,3,8.984767323202794,7.48427544445516,10.622695042541087
425,Chinese world,390,3,8.253295166758583,6.8552654793499,9.826789329533982
431,Chinese world,500,3,10.329197983459569,8.520356754409205,12.25035714420274
476,Chinese world,1090,3,8.801055707590239,7.68634367912066,9.986353766065259
421,Chinese world,350,2,5.49847482513922,4.577971877803548,6.508814473397873
