,year,region_name,population_interpolated,N_est,lower,upper,score,century,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
298,1840,Nordic countries,2.4459999999997493,6776.092827932937,6244.213314705862,7319.573692972474,603.0,19.0,246.52493867541367,2552.8263755954627,2770.275072744739,2992.466759187745,re_nordic_countries,SWE,1568
299,1841,Nordic countries,2.4488999999995067,6803.861666746425,6271.792646273057,7348.88412070166,608.8,19.0,248.5795155149719,2560.9783493645973,2778.2488267258386,3000.803031562812,re_nordic_countries,SWE,1549
300,1842,Nordic countries,2.451799999999264,6831.630505559912,6299.371977840251,7378.194548430847,614.6,19.0,250.63409235453014,2569.1303231337324,2786.2225807069385,3009.1393039378786,re_nordic_countries,SWE,1476
301,1843,Nordic countries,2.454699999999021,6859.3993443734,6326.9513094074455,7407.504976160033,620.4,19.0,252.68866919408836,2577.2822969028675,2794.196334688038,3017.4755763129456,re_nordic_countries,SWE,1508
302,1844,Nordic countries,2.4575999999987785,6887.168183186887,6354.53064097464,7436.81540388922,626.2,19.0,254.74324603364659,2585.434270672002,2802.1700886691374,3025.811848688012,re_nordic_countries,SWE,1573
303,1845,Nordic countries,2.460499999998536,6914.937022000375,6382.1099725418335,7466.125831618406,632.0,19.0,256.79782287320484,2593.586244441137,2810.1438426502373,3034.148121063079,re_nordic_countries,SWE,1610
304,1846,Nordic countries,2.4633999999982934,6942.705860813863,6409.689304109028,7495.436259347592,637.8,19.0,258.85239971276303,2601.738218210272,2818.1175966313367,3042.484393438146,re_nordic_countries,SWE,1554
305,1847,Nordic countries,2.466299999998051,6970.474699627351,6437.268635676222,7524.7466870767785,643.6,19.0,260.9069765523213,2609.890191979407,2826.091350612436,3050.8206658132126,re_nordic_countries,SWE,1594
306,1848,Nordic countries,2.469199999997808,6998.243538440838,6464.847967243417,7554.057114805964,649.4,19.0,262.96155339187953,2618.0421657485417,2834.0651045935356,3059.1569381882796,re_nordic_countries,SWE,1612
307,1849,Nordic countries,2.4720999999975652,7026.012377254326,6492.427298810611,7583.367542535151,655.2,19.0,265.0161302314377,2626.1941395176764,2842.0388585746355,3067.493210563346,re_nordic_countries,SWE,1672
308,1850,Nordic countries,2.4749999999973227,7053.781216067813,6520.006630377806,7612.677970264337,661.0,19.0,267.070707070996,2634.3461132868115,2850.012612555735,3075.829482938413,re_nordic_countries,SWE,1715
