,N_est,lower,upper,decade,region
1575,53.2052883006291,37.66386969004919,70.1573872045122,1590,Korea
1576,80.13799975067627,56.72949921812834,105.67573455380835,1600,Korea
1577,40.17372964216064,28.45717986097405,53.0144370697795,1610,Korea
1578,53.62880400768647,37.97239092043513,70.67071144546046,1620,Korea
1579,67.02725163413915,47.43527744777351,88.40621452717876,1630,Korea
1580,80.32385695052787,56.88515324925648,105.91111846059395,1640,Korea
1581,26.708305258477843,18.911678103179533,35.1480732495382,1650,Korea
1582,66.53696123950358,47.08046940918833,87.61306458140386,1660,Korea
1583,39.74539000518174,28.14139132378485,52.34215772681166,1670,Korea
1584,26.357618327683163,18.657806469609216,34.74313046159274,1680,Korea
1585,13.099868899239226,9.260684917380315,17.2570117730913,1690,Korea
1586,26.02613410010533,18.380895654371564,34.22318807378306,1700,Korea
1587,12.919804772967712,9.124572020056371,17.005885312968648,1710,Korea
1588,51.28581200714657,36.17974257921247,67.49186025032886,1720,Korea
1589,25.43869469769593,17.951875762568868,33.4546941860999,1730,Korea
1590,12.614784706885692,8.90156187942096,16.60304224110963,1740,Korea
1591,25.018042935190497,17.65242767835412,32.93877507903641,1750,Korea
1592,37.20981980266144,26.250823075729727,49.025576672213774,1760,Korea
1593,24.59743234478008,17.370788345152384,32.42509486085876,1770,Korea
1594,48.78595686286795,34.46549944540078,64.24454921635619,1780,Korea
1595,72.58618931929514,51.28594224931759,95.54220987024696,1790,Korea
1596,60.01710420343876,42.40995698569435,79.03721877403153,1800,Korea
1597,23.82942559525772,16.8558156678972,31.381471522217637,1810,Korea
1598,11.832615274837096,8.366381328580312,15.588139807929895,1820,Korea
1599,23.516327011632757,16.61468751633901,30.9835709192632,1830,Korea
1600,70.15437952572556,49.63577428124866,92.52160023291198,1840,Korea
1601,34.90910582355531,24.67980115024878,46.11870988135997,1850,Korea
1602,23.18232242334185,16.399621055091043,30.62671083844732,1860,Korea
1603,46.231591148812015,32.75931085587172,61.08150823812687,1870,Korea
1604,57.688797539746055,40.94384098070116,76.09953751899498,1880,Korea
1605,5.394851272237353,4.054958373291165,6.91364729103997,-320,Latin World
1606,5.696483830537408,4.356891702790118,7.194461449451628,-260,Latin World
1607,5.750429965940186,4.410949018446069,7.24804197391158,-250,Latin World
1608,17.73451275818039,13.751895449584792,22.15272268734238,-220,Latin World
1609,5.963574493439047,4.644648469504956,7.434796197301972,-210,Latin World
1610,42.09858571861859,32.94728210543816,52.24563220679124,-200,Latin World
1611,12.216830701757347,9.626573956649915,15.145066916921362,-180,Latin World
1612,49.521624828497984,39.05719750549389,60.98922946723622,-160,Latin World
1613,24.89972729161521,19.70120189775521,30.628670177923667,-150,Latin World
1614,25.01890246126077,19.8174856009507,30.684609833950383,-140,Latin World
1615,12.557890308969178,9.956071742997365,15.405301678515425,-130,Latin World
1616,94.454127172201,74.92845455842829,115.87344738418614,-120,Latin World
1617,18.924195535385728,14.987132017398098,23.236086199425586,-110,Latin World
1618,100.98674941731774,79.83509850658146,123.79674153585512,-100,Latin World
1619,6.307135324384172,4.973343796449359,7.737773301564437,-90,Latin World
1620,37.76314295459644,29.788912221976567,46.298144391765256,-80,Latin World
1621,37.62767293308316,29.699979738216847,46.19003555168854,-70,Latin World
1622,99.8223107815372,78.78731779617358,122.60365532557717,-60,Latin World
1623,53.76637434099517,42.0073856526226,66.39933041744624,-50,Latin World
1624,36.85815484857369,29.05136692652568,45.19501930100971,-40,Latin World
