,region_name,occupations_name,decade,score,count_occupations
585,Arabic world,poet,-300,2,633
586,Arabic world,historian,-170,1,270
587,Arabic world,philosopher,-170,1,166
588,Arabic world,historian,40,1,270
589,Arabic world,mathematician,40,1,93
590,Arabic world,philosopher,40,1,166
591,Arabic world,theologian,40,1,170
592,Arabic world,historian,100,1,270
593,Arabic world,mathematician,100,2,93
594,Arabic world,philosopher,100,1,166
595,Arabic world,historian,340,1,270
596,Arabic world,mathematician,340,1,93
597,Arabic world,philosopher,340,1,166
598,Arabic world,poet,340,2,633
599,Arabic world,historian,440,1,270
600,Arabic world,mathematician,440,1,93
601,Arabic world,philosopher,440,1,166
602,Arabic world,poet,440,3,633
603,Arabic world,historian,630,1,270
604,Arabic world,poet,630,4,633
605,Arabic world,historian,690,1,270
606,Arabic world,poet,690,2,633
607,Arabic world,theologian,690,1,170
608,Arabic world,historian,830,1,270
609,Arabic world,poet,830,4,633
610,Arabic world,theologian,830,3,170
611,Arabic world,historian,860,6,270
612,Arabic world,linguist,860,1,89
613,Arabic world,mathematician,860,1,93
614,Arabic world,philosopher,860,3,166
615,Arabic world,poet,860,2,633
616,Arabic world,theologian,860,3,170
617,Arabic world,translator,860,1,52
618,Arabic world,historian,1050,2,270
619,Arabic world,mathematician,1050,1,93
620,Arabic world,philosopher,1050,1,166
621,Arabic world,poet,1050,1,633
622,Arabic world,theologian,1050,2,170
623,Arabic world,historian,1370,3,270
624,Arabic world,linguist,1370,1,89
625,Arabic world,philosopher,1370,1,166
626,Arabic world,poet,1370,2,633
627,Arabic world,historian,1380,2,270
628,Arabic world,linguist,1380,1,89
629,Arabic world,philosopher,1380,2,166
630,Arabic world,poet,1380,1,633
631,Arabic world,historian,1540,1,270
632,Arabic world,mathematician,1540,2,93
633,Arabic world,poet,1540,2,633
634,Arabic world,linguist,640,1,89
635,Arabic world,poet,640,6,633
636,Arabic world,theologian,640,2,170
637,Arabic world,translator,640,1,52
638,Arabic world,mathematician,-250,1,93
639,Arabic world,mathematician,-20,1,93
640,Arabic world,mathematician,240,1,93
641,Arabic world,philosopher,240,3,166
642,Arabic world,poet,240,1,633
643,Arabic world,theologian,240,3,170
644,Arabic world,mathematician,280,3,93
645,Arabic world,philosopher,280,5,166
646,Arabic world,poet,280,1,633
647,Arabic world,mathematician,1450,1,93
648,Arabic world,philosopher,-120,1,166
649,Arabic world,poet,-120,1,633
650,Arabic world,philosopher,970,2,166
651,Arabic world,poet,970,2,633
652,Arabic world,philosopher,1080,1,166
653,Arabic world,poet,1080,4,633
654,Arabic world,theologian,1080,3,170
655,Arabic world,poet,620,5,633
656,Arabic world,poet,660,3,633
657,Arabic world,theologian,660,2,170
658,Austria,architect,1440,1,387
659,Austria,painter,1440,4,1195
660,Austria,sculptor,1440,2,351
661,Austria,university teacher,1440,4,485
662,Austria,architect,1480,3,387
663,Austria,composer,1480,3,759
664,Austria,historian,1480,1,257
665,Austria,painter,1480,5,1195
666,Austria,poet,1480,1,240
667,Austria,sculptor,1480,5,351
668,Austria,university teacher,1480,3,485
669,Austria,architect,1500,2,387
670,Austria,composer,1500,1,759
671,Austria,painter,1500,3,1195
672,Austria,poet,1500,1,240
673,Austria,sculptor,1500,2,351
674,Austria,university teacher,1500,4,485
675,Austria,architect,1520,2,387
676,Austria,historian,1520,1,257
677,Austria,painter,1520,4,1195
678,Austria,poet,1520,1,240
679,Austria,sculptor,1520,1,351
680,Austria,university teacher,1520,3,485
681,Austria,architect,1540,3,387
682,Austria,composer,1540,3,759
683,Austria,painter,1540,6,1195
684,Austria,pedagogue,1540,1,184
685,Austria,poet,1540,2,240
686,Austria,sculptor,1540,2,351
687,Austria,university teacher,1540,1,485
688,Austria,architect,1550,1,387
689,Austria,historian,1550,1,257
690,Austria,painter,1550,2,1195
691,Austria,university teacher,1550,2,485
692,Austria,architect,1560,1,387
693,Austria,composer,1560,3,759
694,Austria,historian,1560,1,257
695,Austria,painter,1560,4,1195
696,Austria,poet,1560,2,240
697,Austria,sculptor,1560,1,351
698,Austria,singer,1560,1,191
699,Austria,university teacher,1560,6,485
700,Austria,architect,1580,1,387
701,Austria,composer,1580,4,759
702,Austria,historian,1580,1,257
703,Austria,painter,1580,4,1195
704,Austria,sculptor,1580,1,351
705,Austria,singer,1580,1,191
706,Austria,university teacher,1580,2,485
707,Austria,architect,1610,1,387
708,Austria,composer,1610,3,759
709,Austria,historian,1610,3,257
710,Austria,painter,1610,1,1195
711,Austria,poet,1610,1,240
712,Austria,sculptor,1610,1,351
713,Austria,university teacher,1610,1,485
714,Austria,architect,1620,2,387
715,Austria,composer,1620,4,759
716,Austria,historian,1620,4,257
717,Austria,painter,1620,7,1195
718,Austria,poet,1620,1,240
719,Austria,sculptor,1620,8,351
720,Austria,university teacher,1620,3,485
721,Austria,architect,1630,1,387
722,Austria,composer,1630,3,759
723,Austria,painter,1630,1,1195
724,Austria,sculptor,1630,3,351
725,Austria,architect,1650,2,387
726,Austria,composer,1650,2,759
727,Austria,painter,1650,6,1195
728,Austria,poet,1650,1,240
729,Austria,sculptor,1650,2,351
730,Austria,architect,1660,1,387
731,Austria,composer,1660,4,759
732,Austria,historian,1660,3,257
733,Austria,painter,1660,9,1195
734,Austria,poet,1660,5,240
735,Austria,sculptor,1660,7,351
736,Austria,university teacher,1660,1,485
737,Austria,architect,1670,2,387
738,Austria,composer,1670,7,759
739,Austria,historian,1670,1,257
740,Austria,painter,1670,7,1195
741,Austria,pedagogue,1670,1,184
742,Austria,poet,1670,4,240
743,Austria,sculptor,1670,5,351
744,Austria,stage actor,1670,1,189
745,Austria,architect,1680,6,387
746,Austria,composer,1680,6,759
747,Austria,painter,1680,11,1195
748,Austria,poet,1680,3,240
749,Austria,sculptor,1680,12,351
750,Austria,university teacher,1680,1,485
751,Austria,architect,1690,6,387
752,Austria,composer,1690,9,759
753,Austria,historian,1690,1,257
754,Austria,painter,1690,16,1195
755,Austria,pedagogue,1690,1,184
756,Austria,poet,1690,2,240
757,Austria,sculptor,1690,11,351
758,Austria,singer,1690,1,191
759,Austria,university teacher,1690,4,485
760,Austria,architect,1700,8,387
761,Austria,composer,1700,15,759
762,Austria,historian,1700,2,257
763,Austria,painter,1700,12,1195
764,Austria,poet,1700,1,240
765,Austria,sculptor,1700,17,351
766,Austria,singer,1700,2,191
767,Austria,university teacher,1700,1,485
768,Austria,architect,1710,5,387
769,Austria,composer,1710,10,759
770,Austria,historian,1710,4,257
771,Austria,painter,1710,17,1195
772,Austria,poet,1710,1,240
773,Austria,sculptor,1710,12,351
774,Austria,singer,1710,2,191
775,Austria,stage actor,1710,2,189
776,Austria,university teacher,1710,4,485
777,Austria,architect,1720,9,387
778,Austria,composer,1720,10,759
779,Austria,historian,1720,6,257
780,Austria,painter,1720,14,1195
781,Austria,pedagogue,1720,1,184
782,Austria,poet,1720,1,240
783,Austria,sculptor,1720,15,351
784,Austria,singer,1720,2,191
785,Austria,university teacher,1720,3,485
786,Austria,architect,1730,9,387
787,Austria,composer,1730,9,759
788,Austria,historian,1730,3,257
789,Austria,painter,1730,29,1195
790,Austria,poet,1730,1,240
791,Austria,sculptor,1730,7,351
792,Austria,singer,1730,1,191
793,Austria,stage actor,1730,1,189
794,Austria,university teacher,1730,1,485
795,Austria,architect,1740,8,387
796,Austria,composer,1740,11,759
797,Austria,historian,1740,5,257
798,Austria,painter,1740,16,1195
799,Austria,pedagogue,1740,1,184
800,Austria,poet,1740,1,240
801,Austria,sculptor,1740,13,351
802,Austria,singer,1740,1,191
803,Austria,university teacher,1740,6,485
804,Austria,architect,1750,8,387
805,Austria,composer,1750,16,759
806,Austria,historian,1750,3,257
807,Austria,painter,1750,20,1195
808,Austria,pedagogue,1750,4,184
809,Austria,poet,1750,1,240
810,Austria,sculptor,1750,10,351
811,Austria,singer,1750,1,191
812,Austria,stage actor,1750,3,189
813,Austria,university teacher,1750,9,485
814,Austria,architect,1760,10,387
815,Austria,composer,1760,22,759
816,Austria,historian,1760,6,257
817,Austria,painter,1760,47,1195
818,Austria,pedagogue,1760,1,184
819,Austria,poet,1760,4,240
820,Austria,sculptor,1760,10,351
821,Austria,singer,1760,2,191
822,Austria,stage actor,1760,3,189
823,Austria,university teacher,1760,9,485
824,Austria,architect,1770,8,387
825,Austria,composer,1770,21,759
826,Austria,historian,1770,8,257
827,Austria,painter,1770,33,1195
828,Austria,pedagogue,1770,2,184
829,Austria,poet,1770,3,240
830,Austria,sculptor,1770,8,351
831,Austria,singer,1770,3,191
832,Austria,stage actor,1770,2,189
833,Austria,university teacher,1770,10,485
834,Austria,architect,1780,8,387
835,Austria,composer,1780,44,759
836,Austria,historian,1780,10,257
837,Austria,painter,1780,36,1195
838,Austria,pedagogue,1780,7,184
839,Austria,poet,1780,8,240
840,Austria,sculptor,1780,13,351
841,Austria,singer,1780,10,191
842,Austria,stage actor,1780,9,189
843,Austria,university teacher,1780,15,485
844,Austria,architect,1790,8,387
845,Austria,composer,1790,42,759
846,Austria,historian,1790,7,257
847,Austria,painter,1790,35,1195
848,Austria,pedagogue,1790,6,184
849,Austria,poet,1790,10,240
850,Austria,sculptor,1790,13,351
851,Austria,singer,1790,6,191
852,Austria,stage actor,1790,12,189
853,Austria,university teacher,1790,14,485
854,Austria,architect,1800,6,387
855,Austria,composer,1800,56,759
856,Austria,historian,1800,7,257
857,Austria,painter,1800,35,1195
858,Austria,pedagogue,1800,5,184
859,Austria,poet,1800,15,240
860,Austria,sculptor,1800,11,351
861,Austria,singer,1800,11,191
862,Austria,stage actor,1800,14,189
863,Austria,university teacher,1800,9,485
864,Austria,architect,1810,16,387
865,Austria,composer,1810,41,759
866,Austria,historian,1810,9,257
867,Austria,painter,1810,49,1195
868,Austria,pedagogue,1810,7,184
869,Austria,poet,1810,12,240
870,Austria,sculptor,1810,10,351
871,Austria,singer,1810,9,191
872,Austria,stage actor,1810,12,189
873,Austria,university teacher,1810,12,485
874,Austria,architect,1820,14,387
875,Austria,composer,1820,48,759
876,Austria,historian,1820,18,257
877,Austria,painter,1820,67,1195
878,Austria,pedagogue,1820,11,184
879,Austria,poet,1820,18,240
880,Austria,sculptor,1820,11,351
881,Austria,singer,1820,13,191
882,Austria,stage actor,1820,18,189
883,Austria,university teacher,1820,22,485
884,Austria,architect,1830,15,387
885,Austria,composer,1830,39,759
886,Austria,historian,1830,20,257
887,Austria,painter,1830,65,1195
888,Austria,pedagogue,1830,9,184
889,Austria,poet,1830,12,240
890,Austria,sculptor,1830,8,351
891,Austria,singer,1830,13,191
892,Austria,stage actor,1830,7,189
893,Austria,university teacher,1830,24,485
894,Austria,architect,1840,25,387
895,Austria,composer,1840,68,759
896,Austria,historian,1840,23,257
897,Austria,painter,1840,153,1195
898,Austria,pedagogue,1840,33,184
899,Austria,poet,1840,25,240
900,Austria,sculptor,1840,17,351
901,Austria,singer,1840,26,191
902,Austria,stage actor,1840,26,189
903,Austria,university teacher,1840,47,485
904,Austria,architect,1850,26,387
905,Austria,composer,1850,57,759
906,Austria,historian,1850,20,257
907,Austria,painter,1850,116,1195
908,Austria,pedagogue,1850,19,184
909,Austria,poet,1850,30,240
910,Austria,sculptor,1850,17,351
911,Austria,singer,1850,15,191
912,Austria,stage actor,1850,14,189
913,Austria,university teacher,1850,36,485
914,Austria,architect,1860,54,387
915,Austria,composer,1860,65,759
916,Austria,historian,1860,33,257
917,Austria,painter,1860,172,1195
918,Austria,pedagogue,1860,35,184
919,Austria,poet,1860,28,240
920,Austria,sculptor,1860,27,351
921,Austria,singer,1860,21,191
922,Austria,stage actor,1860,21,189
